,LOCATION,Measure,Year,Value
341,SVN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.23
342,SVN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.226
343,SVN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.225
344,SVN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.233
345,SVN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.225
346,SVN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.239
347,SVN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.234
348,SVN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.241
349,SVN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.226
350,SVN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.215
351,SVN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.217
352,SVN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.205
353,JPN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.364
354,CHL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.339
355,CHL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.317
356,CHL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.315
357,CHL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.31
358,CHL,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.31
359,LVA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2004,0.359
360,LVA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2005,0.331
361,LVA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.315
362,LVA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.308
363,LVA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.311
364,LVA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.347
365,LVA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.34
366,LVA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.329
367,LVA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.317
368,LVA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.306
369,LVA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.286
370,LVA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.306
371,LVA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.31
372,LVA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.33
373,LVA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.306
374,LVA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.306
375,LTU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2004,0.32
376,LTU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2005,0.324
377,LTU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.297
378,LTU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.3
379,LTU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.29
380,LTU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.376
381,LTU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.354
382,LTU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.285
383,LTU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.277
384,LTU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.305
385,LTU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.326
386,LTU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.313
387,LTU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.346
388,LTU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.332
389,LTU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.328
390,LTU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.282
391,BRA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.391
392,BRA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.36
393,BRA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.409
394,BRA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.386
395,BRA,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.446
396,CHN,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.565
397,CRI,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.353
398,CRI,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.367
399,CRI,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.374
400,CRI,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.384
401,CRI,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.379
402,CRI,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.387
403,CRI,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.378
404,CRI,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.365
405,CRI,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.376
406,CRI,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.36
407,CRI,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2020,0.379
408,IND,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2004,0.35
409,IND,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.362
410,RUS,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.313
411,RUS,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.254
412,RUS,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.254
413,ZAF,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.431
414,ZAF,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.443
415,BGR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.386
416,BGR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.308
417,BGR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.301
418,BGR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.307
419,BGR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.315
420,BGR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.333
421,BGR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.321
422,BGR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.348
423,BGR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.321
424,BGR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.37
425,BGR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.347
426,BGR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.304
427,BGR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.298
428,BGR,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.313
429,ROU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2006,0.359
430,ROU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2007,0.36
431,ROU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2008,0.365
432,ROU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2009,0.323
433,ROU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2010,0.35
434,ROU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2011,0.381
435,ROU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2012,0.392
436,ROU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2013,0.389
437,ROU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2014,0.42
438,ROU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2015,0.388
439,ROU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2016,0.383
440,ROU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2017,0.39
441,ROU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2018,0.394
442,ROU,"Mean Poverty gap after taxes and transfers, Poverty line 50%",2019,0.382
